state_name,country_name
Badakhshan,Afghanistan
Badghis,Afghanistan
Baghlan,Afghanistan
Balkh,Afghanistan
Bamyan,Afghanistan
Daykundi,Afghanistan
Farah,Afghanistan
Faryab,Afghanistan
Ghazni,Afghanistan
Ghōr,Afghanistan
Helmand,Afghanistan
Herat,Afghanistan
Jowzjan,Afghanistan
Kabul,Afghanistan
Kandahar,Afghanistan
Kapisa,Afghanistan
Khost,Afghanistan
Kunar,Afghanistan
Kunduz Province,Afghanistan
Laghman,Afghanistan
Logar,Afghanistan
Nangarhar,Afghanistan
Nimruz,Afghanistan
Nuristan,Afghanistan
Paktia,Afghanistan
Paktika,Afghanistan
Panjshir,Afghanistan
Parwan,Afghanistan
Samangan,Afghanistan
Sar-e Pol,Afghanistan
Takhar,Afghanistan
Urozgan,Afghanistan
Zabul,Afghanistan
Berat,Albania
Dibër,Albania
Durrës,Albania
Fier,Albania
Gjirokastër,Albania
Korçë,Albania
Kukës,Albania
Lezhë,Albania
Shkodër,Albania
Tirana,Albania
Vlorë,Albania
Adrar,Algeria
Aïn Defla,Algeria
Aïn Témouchent,Algeria
Algiers,Algeria
Annaba,Algeria
Batna,Algeria
Béchar,Algeria
Béjaïa,Algeria
Biskra,Algeria
Blida,Algeria
Bordj Bou Arréridj,Algeria
Bouïra,Algeria
Boumerdès,Algeria
Chlef,Algeria
Constantine,Algeria
Djelfa,Algeria
El Bayadh,Algeria
El Oued,Algeria
El Tarf,Algeria
Ghardaïa,Algeria
Guelma,Algeria
Illizi,Algeria
Jijel,Algeria
Khenchela,Algeria
Laghouat,Algeria
M'Sila,Algeria
Mascara,Algeria
Médéa,Algeria
Mila,Algeria
Mostaganem,Algeria
Naama,Algeria
Oran,Algeria
Ouargla,Algeria
Oum El Bouaghi,Algeria
Relizane,Algeria
Saïda,Algeria
Sétif,Algeria
Sidi Bel Abbès,Algeria
Skikda,Algeria
Souk Ahras,Algeria
Tamanghasset,Algeria
Tébessa,Algeria
Tiaret,Algeria
Tindouf,Algeria
Tipasa,Algeria
Tissemsilt,Algeria
Tizi Ouzou,Algeria
Tlemcen,Algeria
Eastern,American Samoa
Manuʻa,American Samoa
Western,American Samoa
Andorra la Vella,Andorra
Canillo,Andorra
Encamp,Andorra
Escaldes-Engordany,Andorra
La Massana,Andorra
Ordino,Andorra
Sant Julià de Lòria,Andorra
Bengo,Angola
Benguela,Angola
Bié,Angola
Cabinda,Angola
Cuando Cubango,Angola
Cuanza,Angola
Cuanza Norte,Angola
Cunene,Angola
Huambo,Angola
Huíla,Angola
Luanda,Angola
Lunda Norte,Angola
Lunda Sul,Angola
Malanje,Angola
Moxico,Angola
Uíge,Angola
Zaire,Angola
Barbuda,Antigua and Barbuda
Saint George,Antigua and Barbuda
Saint John,Antigua and Barbuda
Saint Mary,Antigua and Barbuda
Saint Paul,Antigua and Barbuda
Saint Peter,Antigua and Barbuda
Autonomous City of Buenos Aires,Argentina
